,reserva_id,hotel_id,cliente_id,fecha_reserva,fecha_checkin,fecha_checkout,monto_total,estado_reserva
0,0,37,149,2020-02-25,2020-03-23,2020-03-24,892,confirmada
1,1,16,996,2021-04-16,2023-09-18,2024-04-15,6199,pendiente
2,2,82,134,2022-11-16,2023-01-29,2023-01-30,6918,pendiente
3,3,83,392,2023-07-31,2020-11-14,2022-02-24,6329,cancelada
4,4,52,278,2022-03-11,2021-05-06,2021-05-07,504,confirmada
5,5,87,955,2022-05-15,2021-05-24,2023-11-24,785,pendiente
6,6,72,830,2021-11-07,2021-02-19,2023-06-16,3120,pendiente
7,7,57,329,2023-02-03,2021-09-16,2023-12-28,6383,pendiente
8,8,57,89,2023-02-16,2022-01-18,2022-01-19,3416,pendiente
9,9,56,125,2021-09-03,2021-06-01,2023-08-21,5372,pendiente
10,10,91,418,2024-01-07,2021-06-16,2023-07-01,8181,confirmada
11,11,36,898,2023-07-03,2022-12-19,2022-12-20,4844,cancelada
12,12,36,779,2023-12-08,2022-06-16,2024-06-15,4922,confirmada
13,13,32,505,2023-04-08,2022-08-11,2022-08-12,4673,confirmada
14,14,91,688,2021-12-09,2022-08-20,2022-08-21,4987,confirmada
15,15,38,61,2022-02-27,2021-06-17,2023-06-11,9898,cancelada
16,16,29,948,2024-03-07,2023-05-28,2023-05-29,8460,pendiente
17,17,9,345,2021-06-07,2021-01-19,2021-01-20,4083,confirmada
18,18,74,705,2024-03-07,2023-02-06,2023-02-07,2201,cancelada
19,19,61,34,2024-06-26,2023-07-02,2023-07-03,1835,confirmada
20,20,54,431,2020-09-22,2021-09-09,2023-06-09,5579,confirmada
21,21,47,332,2023-10-20,2020-04-12,2024-02-17,5238,pendiente
22,22,73,536,2021-05-29,2021-07-21,2021-07-22,6546,cancelada
23,23,31,364,2021-06-29,2021-05-16,2021-05-17,5878,cancelada
24,24,79,541,2022-10-02,2023-11-13,2023-11-14,1411,cancelada
25,25,59,499,2024-05-20,2021-10-11,2021-10-12,2794,confirmada
26,26,5,825,2023-06-04,2020-04-08,2020-05-12,6715,cancelada
